date,gold,oil,norm_gold,norm_oil
1/1/2014,1205.4,98.7,0.291594454,0.894386181
1/2/2014,1391.7,95.44,0.695190641,0.854164096
1/3/2014,1405.5,93.96,0.725086655,0.835903763
1/6/2014,1405,93.43,0.724003466,0.82936459
1/7/2014,1395.5,93.67,0.703422877,0.832325725
1/8/2014,1392.6,92.33,0.697140381,0.815792721
1/9/2014,1397.9,91.66,0.708622184,0.807526218
1/10/2014,1413.4,92.72,0.74220104,0.820604565
1/13/2014,1416,91.8,0.747833622,0.809253547
1/14/2014,1411.8,92.59,0.738734835,0.819000617
1/15/2014,1405.9,94.17,0.725953206,0.838494756
1/16/2014,1405.7,93.96,0.725519931,0.835903763
1/17/2014,1417.1,94.37,0.750216638,0.840962369
1/20/2014,1255.1,93.93,0.399263432,0.835533621
1/21/2014,1405.1,94.99,0.724220104,0.848611968
1/22/2014,1403.6,96.73,0.720970537,0.870080197
1/23/2014,1426.1,97.32,0.769714038,0.877359655
1/24/2014,1426,96.64,0.7694974,0.868969772
1/27/2014,1425.1,95.72,0.76754766,0.857618754
1/28/2014,1412,97.41,0.739168111,0.87847008
1/29/2014,1422.2,97.36,0.761265165,0.877853177
1/30/2014,1402.8,98.23,0.719237435,0.888587292
1/31/2014,1398.9,97.49,0.710788562,0.879457125
2/3/2014,1417.1,96.43,0.750216638,0.866378779
2/4/2014,1407.3,97.19,0.728986135,0.875755706
2/5/2014,1413,97.38,0.741334489,0.878099938
2/6/2014,1413.3,97.84,0.741984402,0.883775447
2/7/2014,1415.7,99.88,0.747183709,0.908945096
2/10/2014,1427.5,100.06,0.772746967,0.911165947
2/11/2014,1443.6,99.94,0.80762565,0.909685379
2/12/2014,1451.1,100.37,0.823873484,0.914990746
2/13/2014,1451.4,100.35,0.824523397,0.914743985
2/14/2014,1470.8,100.3,0.866551127,0.914127082
2/17/2014,1328.5,100.58,0.558275563,0.91758174
2/18/2014,1473.2,102.43,0.871750433,0.940407156
2/19/2014,1467.7,103.31,0.859835355,0.951264651
2/20/2014,1467.8,102.92,0.860051993,0.946452807
2/21/2014,1474.4,102.2,0.874350087,0.937569402
2/24/2014,1491,102.82,0.910311958,0.945219001
2/25/2014,1493.8,101.83,0.916377816,0.933004318
2/26/2014,1478.4,102.59,0.883015598,0.942381246
2/27/2014,1481.3,102.4,0.889298094,0.940037014
