date,actual,predict
7/3/2017,1227.55,1268.256044
7/4/2017,1271.6,1237.448102
7/5/2017,1274.4,1271.427816
7/6/2017,1260.1,1273.859612
7/7/2017,1263.7,1261.903948
7/10/2017,1265.4,1264.815103
7/11/2017,1268.9,1266.033763
7/12/2017,1266.2,1268.936044
7/13/2017,1276.5,1266.400393
7/14/2017,1283.1,1275.599163
7/17/2017,1291.2,1281.911341
7/18/2017,1291.4,1289.770618
7/19/2017,1294.8,1289.976261
7/20/2017,1303.6,1293.357753
7/21/2017,1303.1,1302.064632
7/24/2017,1300.9,1301.63963
7/25/2017,1298.9,1299.628806
7/26/2017,1310.2,1297.703508
7/27/2017,1319.1,1309.400115
7/28/2017,1317.2,1318.707287
7/31/2017,1323,1316.924665
8/1/2017,1322.2,1322.442999
8/2/2017,1318.3,1321.796171
8/3/2017,1308.4,1317.670506
8/4/2017,1308.7,1307.679712
8/7/2017,1307.1,1307.942476
8/8/2017,1323.7,1306.236769
8/9/2017,1334.5,1323.287887
8/10/2017,1338.1,1333.423561
8/11/2017,1334.8,1336.899661
8/14/2017,1324.2,1333.290205
8/15/2017,1327.5,1323.062645
8/16/2017,1336.8,1326.006826
8/17/2017,1335.7,1334.950673
8/18/2017,1341,1334.522313
8/21/2017,1335.5,1338.928567
8/22/2017,1338.8,1333.968317
8/23/2017,1336,1337.369438
8/24/2017,1341.9,1334.34837
8/25/2017,1359.7,1339.965979
8/28/2017,1362.8,1354.486169
8/29/2017,1358,1356.848911
8/30/2017,1365.6,1352.83374
8/31/2017,1374.2,1359.370197
9/1/2017,1338.08,1365.628433
9/4/2017,1388.3,1336.271786
9/5/2017,1383,1375.358709
9/6/2017,1395.1,1372.331089
9/7/2017,1396.4,1379.436032
9/8/2017,1381.2,1379.466074
9/11/2017,1378.9,1370.686948
9/12/2017,1373.8,1369.258769
9/13/2017,1376.3,1366.298956
9/14/2017,1372.2,1368.284071
9/15/2017,1357.4,1365.452385
9/18/2017,1358.3,1354.243586
9/19/2017,1364,1354.765769
9/20/2017,1342.4,1359.673838
9/21/2017,1345.1,1341.629057
9/22/2017,1359.2,1344.11384
9/25/2017,1349.7,1356.776527
9/26/2017,1336.3,1348.725473
9/27/2017,1336.9,1336.672925
9/28/2017,1333.2,1336.9826
9/29/2017,1324.7,1333.49441
10/2/2017,1323.4,1324.67313
10/3/2017,1325.6,1323.307723
10/4/2017,1322.6,1325.339861
10/5/2017,1324.3,1322.640611
10/6/2017,1334.7,1323.786472
10/9/2017,1343.7,1334.032012
10/10/2017,1338.8,1342.976648
10/11/2017,1346.6,1338.650872
10/12/2017,1354.7,1345.418574
10/13/2017,1353.9,1352.757278
10/16/2017,1336.7,1352.28894
10/17/2017,1333.5,1336.936209
10/18/2017,1340.1,1333.945725
10/19/2017,1330.4,1339.85472
10/20/2017,1331.1,1330.683673
10/23/2017,1328.4,1331.552052
10/24/2017,1329.7,1329.132212
10/25/2017,1320.3,1330.296466
10/26/2017,1322,1320.998233
10/27/2017,1327.8,1323.249961
10/30/2017,1320.6,1329.253439
10/31/2017,1327.5,1321.999215
11/1/2017,1328.3,1329.01742
11/2/2017,1319.8,1329.925359
11/3/2017,1332.4,1321.687299
11/6/2017,1326.5,1335.278531
11/7/2017,1334.9,1329.298911
11/8/2017,1339.4,1337.465386
11/9/2017,1327.1,1341.920713
11/10/2017,1332.5,1329.699202
11/13/2017,1336.3,1335.101938
11/14/2017,1330.8,1338.295868
11/15/2017,1331.5,1332.768676
11/16/2017,1350.1,1333.374258
11/17/2017,1329.4,1351.248793
11/20/2017,1336.5,1331.720261
11/21/2017,1347.1,1339.014225
11/22/2017,1291.66,1349.321412
11/23/2017,1342.3,1292.02288
11/24/2017,1349.4,1345.447154
11/27/2017,1349.7,1351.367861
11/28/2017,1337.1,1351.570942
11/29/2017,1328,1339.807934
11/30/2017,1333.5,1330.912848
12/1/2017,1328.7,1336.832718
12/4/2017,1315.8,1331.651281
12/5/2017,1316.9,1318.291519
12/6/2017,1303.7,1318.766499
12/7/2017,1298.8,1304.779274
12/8/2017,1297.5,1299.610283
12/11/2017,1292.6,1298.378695
12/12/2017,1299.4,1292.706635
12/13/2017,1307.9,1300.027141
12/14/2017,1308.1,1309.504377
12/15/2017,1316.3,1309.822562
12/18/2017,1315.5,1318.629816
12/19/2017,1321.1,1317.901948
12/20/2017,1322,1324.118932
12/21/2017,1330.5,1325.184161
12/22/2017,1277.9,1333.922621
12/25/2017,1339.2,1277.056022
12/26/2017,1343,1343.059026
12/27/2017,1350.1,1346.410951
12/28/2017,1362.6,1352.763932
12/29/2017,1308.7,1363.056764
1/1/2018,1370.5,1311.695087
1/2/2018,1374.2,1368.729118
1/3/2018,1377.4,1371.693133
1/4/2018,1378.4,1373.88514
1/5/2018,1376.8,1374.313082
1/8/2018,1370,1373.407309
1/9/2018,1377,1369.371935
1/10/2018,1380.1,1374.168954
1/11/2018,1394.4,1376.147708
1/12/2018,1341.8,1384.15013
1/15/2018,1396.8,1347.721541
1/16/2018,1399.7,1385.187508
1/17/2018,1387.4,1386.628232
1/18/2018,1394.3,1380.389423
1/19/2018,1394,1383.856745
1/22/2018,1398.2,1383.737333
1/23/2018,1419.1,1386.042081
1/24/2018,1425.9,1394.863218
1/25/2018,1416,1397.144338
1/26/2018,1403.6,1393.829214
1/29/2018,1398.5,1388.746319
1/30/2018,1401.7,1386.191248
1/31/2018,1406.7,1387.722581
2/1/2018,1396.2,1390.120582
2/2/2018,1394.5,1385.319029
2/5/2018,1387,1384.161471
2/6/2018,1372.3,1380.005194
2/7/2018,1376.4,1370.492899
2/8/2018,1372.3,1372.945054
2/9/2018,1383.1,1369.504232
2/12/2018,1387,1376.433173
2/13/2018,1415.1,1378.677097
2/14/2018,1413.7,1392.446504
2/15/2018,1415,1392.056543
2/16/2018,1347.8,1392.636864
2/19/2018,1390.1,1351.947362
2/20/2018,1392.3,1381.254746
2/21/2018,1393.1,1382.358105
2/22/2018,1390.7,1383.082954
2/23/2018,1394.8,1382.050244
2/26/2018,1381.3,1384.249111
2/27/2018,1380.8,1376.611614
2/28/2018,1367.6,1375.85784
3/1/2018,1385.8,1366.943567
3/2/2018,1382.1,1378.669863
3/5/2018,1397.5,1376.94445
3/6/2018,1389.5,1385.237393
3/7/2018,1384,1380.702828
3/8/2018,1386.9,1377.253353
3/9/2018,1383.7,1379.540855
3/12/2018,1390.3,1377.491519
3/13/2018,1388.6,1381.001932
3/14/2018,1380.6,1380.150054
3/15/2018,1375.2,1375.583136
3/16/2018,1380.6,1372.599188
3/19/2018,1375.1,1375.878116
3/20/2018,1385.5,1372.906816
3/21/2018,1391.1,1379.690476
3/22/2018,1413.9,1382.466023
3/23/2018,1419.9,1393.003135
3/26/2018,1406.7,1395.135372
3/27/2018,1387.8,1390.012037
3/28/2018,1384.9,1380.730921
3/29/2018,1384.9,1379.288691
3/30/2018,1404.7,1379.288691
4/2/2018,1395.4,1388.670516
4/3/2018,1398.6,1384.44354
4/4/2018,1387,1385.963132
4/5/2018,1394.8,1380.049502
4/6/2018,1398.5,1383.753107
4/9/2018,1404.4,1385.92796
4/10/2018,1418.9,1389.083896
4/11/2018,1400.3,1394.973209
4/12/2018,1406.6,1387.593977
4/13/2018,1409.3,1390.376739
4/16/2018,1408,1391.266294
4/17/2018,1412.2,1390.793964
4/18/2018,1407.5,1392.771793
4/19/2018,1396.9,1390.901484
4/20/2018,1382.7,1386.304904
4/23/2018,1391.8,1379.084383
4/24/2018,1381.6,1383.68355
4/25/2018,1376.7,1378.30082
4/26/2018,1382.3,1375.453182
4/27/2018,1377.8,1378.712908
4/30/2018,1365.1,1376.227754
5/1/2018,1364,1367.54815
5/2/2018,1371.1,1367.018196
5/3/2018,1373.4,1372.010057
5/4/2018,1372.9,1373.879917
5/7/2018,1372.5,1373.870425
5/8/2018,1371.7,1373.109836
5/9/2018,1380.8,1373.239864
5/10/2018,1379.1,1378.723929
5/11/2018,1376.6,1377.584454
5/14/2018,1348.5,1376.190142
5/15/2018,1350.1,1356.488238
5/16/2018,1347.9,1357.866375
5/17/2018,1349.2,1356.070559
5/18/2018,1349,1357.048619
5/21/2018,1350,1357.287459
5/22/2018,1347.4,1358.050051
5/23/2018,1362.4,1355.806499
5/24/2018,1361.4,1366.878383
5/25/2018,1297.6,1365.12878
5/28/2018,1354.6,1302.361172
5/29/2018,1357.6,1359.495388
5/30/2018,1355.9,1362.4231
5/31/2018,1350.9,1360.645269
6/1/2018,1349.4,1356.106416
6/4/2018,1354.1,1354.385592
6/5/2018,1353.5,1358.589551
6/6/2018,1354.4,1357.769085
6/7/2018,1354.4,1359.010765
6/8/2018,1355.5,1358.922504
6/11/2018,1351.8,1359.945438
6/12/2018,1353.5,1357.084623
6/13/2018,1360.6,1358.580608
6/14/2018,1329.3,1364.162491
6/15/2018,1331.1,1335.944872
6/18/2018,1329.2,1338.132833
6/19/2018,1325.3,1335.849716
6/20/2018,1321,1332.478308
6/21/2018,1321.3,1327.643253
6/22/2018,1319.2,1329.567082
6/25/2018,1309.6,1327.077201
6/26/2018,1305.7,1317.966813
6/27/2018,1300.2,1314.900428
6/28/2018,1303.9,1309.037998
6/29/2018,1289.9,1313.713994
7/2/2018,1302.4,1297.31747
7/3/2018,1258.1,1311.996978
7/4/2018,1307.6,1261.029824
7/5/2018,1304.8,1317.150138
7/6/2018,1309,1314.518122
7/9/2018,1305.1,1319.266019
7/10/2018,1293.3,1315.050299
7/11/2018,1295.4,1299.17065
7/12/2018,1289.7,1301.593996
7/13/2018,1288.2,1295.313821
7/16/2018,1275.3,1291.96628
7/17/2018,1275.7,1277.130997
7/18/2018,1271.1,1277.888189
7/19/2018,1277.5,1273.017324
7/20/2018,1271.4,1280.775694
7/23/2018,1271.5,1272.682658
7/24/2018,1277.4,1273.054361
7/25/2018,1271.8,1280.08237
7/26/2018,1269.3,1273.869849
7/27/2018,1268,1270.686361
7/30/2018,1270.1,1269.870242
7/31/2018,1264.3,1271.599894
8/1/2018,1256.5,1264.883841
8/2/2018,1259.7,1257.244796
8/3/2018,1254.1,1260.351039
8/6/2018,1254.7,1254.872013
8/7/2018,1257.3,1255.513798
8/8/2018,1256.3,1257.457053
8/9/2018,1255.1,1256.432307
8/10/2018,1234.6,1255.462444
8/13/2018,1236.4,1237.526486
8/14/2018,1220.2,1238.884979
8/15/2018,1219.2,1227.993493
8/16/2018,1219.3,1227.400722
8/17/2018,1229.6,1227.435722
8/20/2018,1234.9,1233.880877
8/21/2018,1238.2,1237.766495
8/22/2018,1228.4,1240.394617
8/23/2018,1248.2,1233.12336
8/24/2018,1251.2,1249.170615
8/27/2018,1249.6,1252.021702
8/28/2018,1246.5,1250.42236
8/29/2018,1239.5,1247.812492
8/30/2018,1241.1,1241.882725
8/31/2018,1206.3,1243.130891
9/3/2018,1233.6,1220.847454
9/4/2018,1236,1237.103161
9/5/2018,1239.1,1238.775523
9/6/2018,1235.5,1241.107056
9/7/2018,1235,1238.264693
9/10/2018,1237.6,1237.860753
9/11/2018,1246.6,1240.127853
9/12/2018,1243.8,1248.136398
9/13/2018,1236.6,1245.198335
9/14/2018,1241.2,1239.28764
9/17/2018,1238.3,1243.031999
9/18/2018,1244.1,1240.807331
9/19/2018,1247,1246.085447
9/20/2018,1236.9,1248.631358
9/21/2018,1240,1239.863962
9/24/2018,1240.8,1242.770523
9/25/2018,1234.4,1243.518324
9/26/2018,1222.4,1238.049049
9/27/2018,1231.3,1229.619916
9/28/2018,1227,1236.058189
10/1/2018,1242.7,1233.424911
10/2/2018,1238.7,1246.264892
10/3/2018,1237.5,1243.173074
10/4/2018,1242.2,1241.349249
10/5/2018,1224.9,1245.456856
10/8/2018,1227.8,1231.688177
10/9/2018,1229.4,1233.909395
10/10/2018,1264,1234.620799
10/11/2018,1258.1,1265.865557
10/12/2018,1266.9,1259.754727
10/15/2018,1267.3,1269.424982
10/16/2018,1263.4,1269.938353
10/17/2018,1266.6,1264.70277
10/18/2018,1265.3,1267.716065
10/19/2018,1261.3,1266.494112
10/22/2018,1273.5,1262.25332
10/23/2018,1267.6,1274.444057
10/24/2018,1269,1268.125674
10/25/2018,1272.3,1269.825459
10/26/2018,1263.7,1273.561528
10/29/2018,1261.5,1264.045092
10/30/2018,1250.8,1261.504555
10/31/2018,1274.8,1250.887056
11/1/2018,1269.9,1274.944744
11/2/2018,1269,1269.50159
11/5/2018,1263,1268.538191
11/6/2018,1265.4,1262.173825
11/7/2018,1262,1264.515012
11/8/2018,1245,1260.981304
11/9/2018,1239.6,1245.612233
11/12/2018,1237.5,1241.372672
11/13/2018,1246.2,1240.571062
11/14/2018,1251.7,1247.039686
11/15/2018,1259,1251.564756
11/16/2018,1261.6,1258.045565
11/19/2018,1257.5,1260.454409
11/20/2018,1264.7,1257.042174
11/21/2018,1228,1263.482587
11/22/2018,1260,1234.768657
11/23/2018,1259.7,1259.83772
11/26/2018,1250.4,1259.311293
11/27/2018,1260.2,1251.484548
11/28/2018,1260.8,1260.042678
11/29/2018,1256.5,1260.319702
11/30/2018,1270.2,1256.700844
12/3/2018,1277.4,1268.855109
12/4/2018,1273.4,1275.982635
12/5/2018,1274.3,1271.98525
12/6/2018,1283.6,1272.929089
12/7/2018,1280,1282.293444
12/10/2018,1278.1,1278.583672
12/11/2018,1281,1276.677208
12/12/2018,1278.4,1279.586539
12/13/2018,1272.2,1276.979887
12/14/2018,1282.6,1270.914702
12/17/2018,1284,1281.19551
12/18/2018,1286.8,1282.753661
12/19/2018,1298.6,1285.420931
12/20/2018,1288.6,1297.09096
12/21/2018,1302.4,1287.245327
12/24/2018,1270.75,1300.592764
12/25/2018,1303.7,1271.251628
12/26/2018,1311.9,1302.225308
12/27/2018,1313.7,1310.104971
12/28/2018,1312.5,1312.034086
12/31/2018,1283.35,1310.8638
1/1/2019,,
