date,price
1/1/2014,1205.4
1/2/2014,1391.7
1/3/2014,1405.5
1/6/2014,1405
1/7/2014,1395.5
1/8/2014,1392.6
1/9/2014,1397.9
1/10/2014,1413.4
1/13/2014,1416
1/14/2014,1411.8
1/15/2014,1405.9
1/16/2014,1405.7
1/17/2014,1417.1
1/20/2014,1255.1
1/21/2014,1405.1
1/22/2014,1403.6
1/23/2014,1426.1
1/24/2014,1426
1/27/2014,1425.1
1/28/2014,1412
1/29/2014,1422.2
1/30/2014,1402.8
1/31/2014,1398.9
2/3/2014,1417.1
2/4/2014,1407.3
2/5/2014,1413
2/6/2014,1413.3
2/7/2014,1415.7
2/10/2014,1427.5
2/11/2014,1443.6
2/12/2014,1451.1
2/13/2014,1451.4
2/14/2014,1470.8
2/17/2014,1328.5
2/18/2014,1473.2
2/19/2014,1467.7
2/20/2014,1467.8
2/21/2014,1474.4
2/24/2014,1491
2/25/2014,1493.8
2/26/2014,1478.4
2/27/2014,1481.3
2/28/2014,1473
3/3/2014,1500
3/4/2014,1488.7
3/5/2014,1491.1
3/6/2014,1504.3
3/7/2014,1494.6
3/10/2014,1497.2
3/11/2014,1502.2
3/12/2014,1525.2
3/13/2014,1526
3/14/2014,1532.4
3/17/2014,1525.6
3/18/2014,1511.6
3/19/2014,1493
3/20/2014,1488.7
3/21/2014,1493.5
3/24/2014,1468.5
3/25/2014,1466.4
3/26/2014,1456.1
3/27/2014,1447.8
3/28/2014,1445.3
3/31/2014,1433.8
4/1/2014,1430
4/2/2014,1442.5
4/3/2014,1435.1
4/4/2014,1452.7
4/7/2014,1442.7
4/8/2014,1452.3
4/9/2014,1451.1
4/10/2014,1461.7
4/11/2014,1459.7
4/14/2014,1469.3
4/15/2014,1442
4/16/2014,1446
4/17/2014,1437.5
4/18/2014,1437.5
4/21/2014,1432.4
4/22/2014,1425.4
4/23/2014,1424
4/24/2014,1429.7
4/25/2014,1438.9
4/28/2014,1435.7
4/29/2014,1432.5
4/30/2014,1431.8
