"date","gold","oil"
"1/1/2014",1205.4,98.7
"1/2/2014",1391.7,95.44
"1/3/2014",1405.5,93.96
"1/6/2014",1405,93.43
"1/7/2014",1395.5,93.67
"1/8/2014",1392.6,92.33
"1/9/2014",1397.9,91.66
"1/10/2014",1413.4,92.72
"1/13/2014",1416,91.8
"1/14/2014",1411.8,92.59
"1/15/2014",1405.9,94.17
"1/16/2014",1405.7,93.96
"1/17/2014",1417.1,94.37
"1/20/2014",1255.1,93.93
"1/21/2014",1405.1,94.99
"1/22/2014",1403.6,96.73
"1/23/2014",1426.1,97.32
"1/24/2014",1426,96.64
"1/27/2014",1425.1,95.72
"1/28/2014",1412,97.41
"1/29/2014",1422.2,97.36
"1/30/2014",1402.8,98.23
"1/31/2014",1398.9,97.49
"2/3/2014",1417.1,96.43
"2/4/2014",1407.3,97.19
"2/5/2014",1413,97.38
"2/6/2014",1413.3,97.84
"2/7/2014",1415.7,99.88
"2/10/2014",1427.5,100.06
"2/11/2014",1443.6,99.94
"2/12/2014",1451.1,100.37
"2/13/2014",1451.4,100.35
"2/14/2014",1470.8,100.3
"2/17/2014",1328.5,100.58
"2/18/2014",1473.2,102.43
"2/19/2014",1467.7,103.31
"2/20/2014",1467.8,102.92
"2/21/2014",1474.4,102.2
"2/24/2014",1491,102.82
"2/25/2014",1493.8,101.83
"2/26/2014",1478.4,102.59
"2/27/2014",1481.3,102.4
"2/28/2014",1473,102.59
"3/3/2014",1500,104.92
"3/4/2014",1488.7,103.33
"3/5/2014",1491.1,101.45
"3/6/2014",1504.3,101.56
"3/7/2014",1494.6,102.58
"3/10/2014",1497.2,101.12
"3/11/2014",1502.2,100.03
"3/12/2014",1525.2,97.99
"3/13/2014",1526,98.2
"3/14/2014",1532.4,98.89
"3/17/2014",1525.6,98.08
"3/18/2014",1511.6,99.7
"3/19/2014",1493,100.37
"3/20/2014",1488.7,99.43
"3/21/2014",1493.5,99.46
"3/24/2014",1468.5,99.6
"3/25/2014",1466.4,99.19
"3/26/2014",1456.1,100.26
"3/27/2014",1447.8,101.28
"3/28/2014",1445.3,101.67
"3/31/2014",1433.8,101.58
"4/1/2014",1430,99.74
"4/2/2014",1442.5,99.62
"4/3/2014",1435.1,100.29
"4/4/2014",1452.7,101.14
"4/7/2014",1442.7,100.44
"4/8/2014",1452.3,102.56
"4/9/2014",1451.1,103.6
"4/10/2014",1461.7,103.4
"4/11/2014",1459.7,103.74
"4/14/2014",1469.3,104.05
"4/15/2014",1442,103.75
"4/16/2014",1446,103.76
"4/17/2014",1437.5,104.3
"4/18/2014",1437.5,104.3
"4/21/2014",1432.4,104.37
"4/22/2014",1425.4,102.13
"4/23/2014",1424,101.44
"4/24/2014",1429.7,101.94
"4/25/2014",1438.9,100.6
"4/28/2014",1435.7,100.84
"4/29/2014",1432.5,101.28
"4/30/2014",1431.8,99.74
"5/1/2014",1417.5,99.42
"5/2/2014",1437.5,99.76
"5/5/2014",1444.4,99.48
"5/6/2014",1444,99.5
"5/7/2014",1423.3,100.77
"5/8/2014",1421.7,100.26
"5/9/2014",1421.8,99.99
"5/12/2014",1430.6,100.59
"5/13/2014",1427.5,101.7
"5/14/2014",1435.3,102.37
"5/15/2014",1422,101.5
"5/16/2014",1422.3,102.02
"5/19/2014",1421.9,102.61
"5/20/2014",1422.5,102.44
"5/21/2014",1416.1,104.07
"5/22/2014",1422.7,103.74
"5/23/2014",1419.1,104.35
"5/26/2014",1292.5,104.28
"5/27/2014",1392.9,104.11
"5/28/2014",1385.4,102.72
"5/29/2014",1379.5,103.58
"5/30/2014",1368.9,102.71
"6/2/2014",1367.7,102.47
"6/3/2014",1368.2,102.66
"6/4/2014",1368.4,102.64
"6/5/2014",1377.3,102.48
"6/6/2014",1377.6,102.66
"6/9/2014",1380.2,104.41
"6/10/2014",1386.5,104.35
"6/11/2014",1387,104.4
"6/12/2014",1399.9,106.53
"6/13/2014",1401.6,106.91
"6/16/2014",1403,106.9
"6/17/2014",1399.9,106.36
"6/18/2014",1400.6,105.97
"6/19/2014",1442.5,106.43
"6/20/2014",1445.2,107.26
"6/23/2014",1447,106.17
"6/24/2014",1448.6,106.03
"6/25/2014",1449.2,106.5
"6/26/2014",1443.4,105.84
"6/27/2014",1444.7,105.74
"6/30/2014",1445.1,105.37
"7/1/2014",1450.2,105.34
"7/2/2014",1454.8,104.48
"7/3/2014",1445.6,104.06
"7/4/2014",1321.3,103.76
"7/7/2014",1442,103.53
"7/8/2014",1441.4,103.4
"7/9/2014",1449.7,102.29
"7/10/2014",1464.7,102.93
"7/11/2014",1462.9,100.83
"7/14/2014",1430.7,100.91
"7/15/2014",1421.3,99.96
"7/16/2014",1424.9,101.2
"7/17/2014",1442.1,103.19
"7/18/2014",1434.7,103.13
"7/21/2014",1439.6,104.59
"7/22/2014",1431.6,104.42
"7/23/2014",1430.3,103.12
"7/24/2014",1417.3,102.07
"7/25/2014",1430.3,102.09
"7/28/2014",1432,101.67
