date,oil
1/1/2014,1.700110913
1/2/2014,1.556756122
1/3/2014,1.491674806
1/6/2014,1.468368659
1/7/2014,1.478922386
1/8/2014,1.419997411
1/9/2014,1.390534923
1/10/2014,1.437147217
1/13/2014,1.396691264
1/14/2014,1.431430615
1/15/2014,1.500909317
1/16/2014,1.491674806
1/17/2014,1.50970409
1/20/2014,1.49035559
1/21/2014,1.536967884
1/22/2014,1.613482405
1/23/2014,1.639426983
1/24/2014,1.609524757
1/27/2014,1.569068804
1/28/2014,1.643384631
1/29/2014,1.641185938
1/30/2014,1.679443198
1/31/2014,1.64690254
2/3/2014,1.600290246
2/4/2014,1.633710381
2/5/2014,1.642065415
2/6/2014,1.662293392
2/7/2014,1.752000071
2/10/2014,1.759915366
2/11/2014,1.754638503
2/12/2014,1.773547263
2/13/2014,1.772667786
2/14/2014,1.770469093
2/17/2014,1.782781774
2/18/2014,1.86413342
2/19/2014,1.902830418
2/20/2014,1.885680612
2/21/2014,1.854019431
2/24/2014,1.881283226
2/25/2014,1.837749102
2/26/2014,1.871169238
2/27/2014,1.862814204
2/28/2014,1.871169238
3/3/2014,1.973628337
3/4/2014,1.903709896
3/5/2014,1.821039035
3/6/2014,1.825876159
3/7/2014,1.870729499
3/10/2014,1.80652766
3/11/2014,1.75859615
3/12/2014,1.668889471
3/13/2014,1.678123982
3/14/2014,1.708465947
3/17/2014,1.672847119
3/18/2014,1.744084776
3/19/2014,1.773547263
3/20/2014,1.732211833
3/21/2014,1.733531049
3/24/2014,1.739687389
3/25/2014,1.721658106
3/26/2014,1.768710138
3/27/2014,1.813563478
3/28/2014,1.830713284
3/31/2014,1.826755637
4/1/2014,1.74584373
4/2/2014,1.740566867
4/3/2014,1.770029354
4/4/2014,1.807407137
4/7/2014,1.776625434
4/8/2014,1.869850022
4/9/2014,1.915582838
4/10/2014,1.906788066
4/11/2014,1.921739179
4/14/2014,1.935371077
4/15/2014,1.922178918
4/16/2014,1.922618656
4/17/2014,1.946364542
4/18/2014,1.946364542
4/21/2014,1.949442712
4/22/2014,1.850941261
4/23/2014,1.820599296
4/24/2014,1.842586227
4/25/2014,1.783661252
4/28/2014,1.794214979
4/29/2014,1.813563478
4/30/2014,1.74584373
5/1/2014,1.731772094
5/2/2014,1.746723207
5/5/2014,1.734410526
5/6/2014,1.735290003
5/7/2014,1.791136808
5/8/2014,1.768710138
5/9/2014,1.756837196
5/12/2014,1.783221513
5/13/2014,1.8320325
5/14/2014,1.861494988
5/15/2014,1.823237728
5/16/2014,1.846104136
5/19/2014,1.872048715
5/20/2014,1.864573158
5/21/2014,1.936250554
5/22/2014,1.921739179
5/23/2014,1.948563235
5/26/2014,1.945485065
5/27/2014,1.938009508
5/28/2014,1.87688584
5/29/2014,1.914703361
5/30/2014,1.876446101
6/2/2014,1.865892374
6/3/2014,1.874247408
6/4/2014,1.873367931
6/5/2014,1.866332113
6/6/2014,1.874247408
6/9/2014,1.951201667
6/10/2014,1.948563235
