date,actual,predict
7/3/2017,1227.55,1277.537796
7/4/2017,1271.6,1231.720154
7/5/2017,1274.4,1280.608132
7/6/2017,1260.1,1283.432606
7/7/2017,1263.7,1268.601058
7/10/2017,1265.4,1272.427763
7/11/2017,1268.9,1274.213743
7/12/2017,1266.2,1277.846853
7/13/2017,1276.5,1275.049423
7/14/2017,1283.1,1285.524347
7/17/2017,1291.2,1291.946121
7/18/2017,1291.4,1299.502406
7/19/2017,1294.8,1299.684359
7/20/2017,1303.6,1302.743073
7/21/2017,1303.1,1310.354965
7/24/2017,1300.9,1309.934311
7/25/2017,1298.9,1308.066459
7/26/2017,1310.2,1306.34443
7/27/2017,1319.1,1315.773621
7/28/2017,1317.2,1322.687512
7/31/2017,1323,1321.249208
8/1/2017,1322.2,1325.576228
8/2/2017,1318.3,1324.990616
8/3/2017,1308.4,1322.084392
8/4/2017,1308.7,1314.320499
8/7/2017,1307.1,1314.563971
8/8/2017,1323.7,1313.259509
8/9/2017,1334.5,1326.08571
8/10/2017,1338.1,1333.604082
8/11/2017,1334.8,1335.969868
8/14/2017,1324.2,1333.803873
8/15/2017,1327.5,1326.447955
8/16/2017,1336.8,1328.804002
8/17/2017,1335.7,1335.123514
8/18/2017,1341,1334.400354
8/21/2017,1335.5,1337.82578
8/22/2017,1338.8,1334.268177
8/23/2017,1336,1336.421894
8/24/2017,1341.9,1334.598219
8/25/2017,1359.7,1338.392806
8/28/2017,1362.8,1348.767792
8/29/2017,1358,1350.41781
8/30/2017,1365.6,1347.843819
8/31/2017,1374.2,1351.87006
9/1/2017,1338.08,1356.111698
9/4/2017,1388.3,1335.956915
9/5/2017,1383,1362.39351
9/6/2017,1395.1,1360.126072
9/7/2017,1396.4,1365.145995
9/8/2017,1381.2,1365.652868
9/11/2017,1378.9,1359.330754
9/12/2017,1373.8,1358.295432
9/13/2017,1376.3,1355.92155
9/14/2017,1372.2,1357.098844
9/15/2017,1357.4,1355.154101
9/18/2017,1358.3,1347.51444
9/19/2017,1364,1348.007867
9/20/2017,1342.4,1351.044588
9/21/2017,1345.1,1338.706002
9/22/2017,1359.2,1340.374959
9/25/2017,1349.7,1348.497452
9/26/2017,1336.3,1343.132829
9/27/2017,1336.9,1334.795604
9/28/2017,1333.2,1335.188936
9/29/2017,1324.7,1332.732734
10/2/2017,1323.4,1326.808809
10/3/2017,1325.6,1325.867695
10/4/2017,1322.6,1327.454851
10/5/2017,1324.3,1325.283869
10/6/2017,1334.7,1326.520237
10/9/2017,1343.7,1333.73733
10/10/2017,1338.8,1339.514258
10/11/2017,1346.6,1336.421894
10/12/2017,1354.7,1341.286024
10/13/2017,1353.9,1346.010897
10/16/2017,1336.7,1345.558642
10/17/2017,1333.5,1335.058038
10/18/2017,1340.1,1332.934621
10/19/2017,1330.4,1337.254529
10/20/2017,1331.1,1330.824962
10/23/2017,1328.4,1331.305894
10/24/2017,1329.7,1329.43613
10/25/2017,1320.3,1330.341359
10/26/2017,1322,1323.585435
10/27/2017,1327.8,1324.843655
10/30/2017,1320.6,1329.015206
10/31/2017,1327.5,1323.808651
11/1/2017,1328.3,1328.804002
11/2/2017,1319.8,1329.366113
11/3/2017,1332.4,1323.212284
11/6/2017,1326.5,1332.191991
11/7/2017,1334.9,1328.096408
11/8/2017,1339.4,1333.870363
11/9/2017,1327.1,1336.807291
11/10/2017,1332.5,1328.521626
11/13/2017,1336.3,1332.259773
11/14/2017,1330.8,1334.795604
11/15/2017,1331.5,1331.100107
11/16/2017,1350.1,1331.579516
11/17/2017,1329.4,1343.367617
11/20/2017,1336.5,1330.133281
11/21/2017,1347.1,1334.926928
11/22/2017,1291.66,1341.587171
11/23/2017,1342.3,1299.920561
11/24/2017,1349.4,1338.643467
11/27/2017,1349.7,1342.956214
11/28/2017,1337.1,1343.132829
11/29/2017,1328,1335.319622
11/30/2017,1333.5,1329.155734
12/1/2017,1328.7,1332.934621
12/4/2017,1315.8,1329.645851
12/5/2017,1316.9,1320.176351
12/6/2017,1303.7,1321.020243
12/7/2017,1298.8,1310.438924
12/8/2017,1297.5,1306.25773
12/11/2017,1292.6,1305.125443
12/12/2017,1299.4,1300.77135
12/13/2017,1307.9,1306.777077
12/14/2017,1308.1,1313.913569
12/15/2017,1316.3,1314.076512
12/18/2017,1315.5,1320.560788
12/19/2017,1321.1,1319.945009
12/20/2017,1322,1324.179556
12/21/2017,1330.5,1324.843655
12/22/2017,1277.9,1330.89383
12/25/2017,1339.2,1286.905983
12/26/2017,1343,1336.679036
12/27/2017,1350.1,1339.080128
12/28/2017,1362.6,1343.367617
12/29/2017,1308.7,1350.312704
1/1/2018,1370.5,1314.563971
1/2/2018,1374.2,1354.326563
1/3/2018,1377.4,1356.111698
1/4/2018,1378.4,1357.608521
1/5/2018,1376.8,1358.067495
1/8/2018,1370,1357.331142
1/9/2018,1377,1354.080771
1/10/2018,1380.1,1357.423769
1/11/2018,1394.4,1358.838291
1/12/2018,1341.8,1364.870535
1/15/2018,1396.8,1338.330011
1/16/2018,1399.7,1365.80761
1/17/2018,1387.4,1366.912538
1/18/2018,1394.3,1362.01617
1/19/2018,1394,1364.831038
1/22/2018,1398.2,1364.712329
1/23/2018,1419.1,1366.344723
1/24/2018,1425.9,1373.585589
1/25/2018,1416,1375.652891
1/26/2018,1403.6,1372.598613
1/29/2018,1398.5,1368.352454
1/30/2018,1401.7,1366.458917
1/31/2018,1406.7,1367.657459
2/1/2018,1396.2,1369.460393
2/2/2018,1394.5,1365.575283
2/5/2018,1387,1364.909995
2/6/2018,1372.3,1361.847463
2/7/2018,1376.4,1355.202389
2/8/2018,1372.3,1357.145388
2/9/2018,1383.1,1355.202389
2/12/2018,1387,1360.169876
2/13/2018,1415.1,1361.847463
2/14/2018,1413.7,1372.306675
2/15/2018,1415,1371.847644
2/16/2018,1347.8,1372.274085
2/19/2018,1390.1,1342.006654
2/20/2018,1392.3,1363.138922
2/21/2018,1393.1,1364.033417
2/22/2018,1390.7,1364.354229
2/23/2018,1394.8,1363.38467
